Date,Sales,Region
6/02/2018,1638,north
6/02/2018,1647,south
6/02/2018,1731,east
6/02/2018,1557,west
7/02/2018,1587,north
7/02/2018,1698,south
7/02/2018,1542,east
7/02/2018,1635,west
8/02/2018,1602,north
8/02/2018,1536,south
8/02/2018,1503,east
8/02/2018,1701,west
9/02/2018,1758,north
9/02/2018,1662,south
9/02/2018,1782,east
9/02/2018,1515,west
10/02/2018,1662,north
10/02/2018,1557,south
10/02/2018,1650,east
10/02/2018,1674,west
11/02/2018,1554,north
11/02/2018,1587,south
11/02/2018,1563,east
11/02/2018,1764,west
12/02/2018,1758,north
12/02/2018,1608,south
12/02/2018,1569,east
12/02/2018,1653,west
13/02/2018,1572,north
13/02/2018,1716,south
13/02/2018,1773,east
13/02/2018,1725,west
14/02/2018,1767,north
14/02/2018,1710,south
14/02/2018,1698,east
14/02/2018,1512,west
15/02/2018,1746,north
15/02/2018,1734,south
15/02/2018,1524,east
15/02/2018,1614,west
16/02/2018,1578,north
16/02/2018,1782,south
16/02/2018,1527,east
16/02/2018,1752,west
17/02/2018,1785,north
17/02/2018,1689,south
17/02/2018,1641,east
17/02/2018,1575,west
18/02/2018,1644,north
18/02/2018,1674,south
18/02/2018,1551,east
18/02/2018,1737,west
19/02/2018,1563,north
19/02/2018,1647,south
19/02/2018,1605,east
19/02/2018,1539,west
20/02/2018,1698,north
20/02/2018,1575,south
20/02/2018,1500,east
20/02/2018,1551,west
21/02/2018,1737,north
21/02/2018,1542,south
21/02/2018,1665,east
21/02/2018,1548,west
22/02/2018,1635,north
22/02/2018,1632,south
22/02/2018,1668,east
22/02/2018,1764,west
23/02/2018,1533,north
23/02/2018,1563,south
23/02/2018,1641,east
23/02/2018,1773,west
24/02/2018,1629,north
24/02/2018,1698,south
24/02/2018,1725,east
24/02/2018,1722,west
25/02/2018,1596,north
25/02/2018,1710,south
25/02/2018,1635,east
25/02/2018,1659,west
26/02/2018,1686,north
26/02/2018,1533,south
26/02/2018,1524,east
26/02/2018,1530,west
27/02/2018,1665,north
27/02/2018,1695,south
27/02/2018,1578,east
27/02/2018,1620,west
28/02/2018,1767,north
28/02/2018,1593,south
28/02/2018,1743,east
28/02/2018,1557,west
1/03/2018,1668,north
1/03/2018,1782,south
1/03/2018,1527,east
1/03/2018,1668,west
2/03/2018,1635,north
2/03/2018,1569,south
2/03/2018,1746,east
2/03/2018,1773,west
3/03/2018,1539,north
3/03/2018,1500,south
3/03/2018,1569,east
3/03/2018,1557,west
4/03/2018,1773,north
4/03/2018,1644,south
4/03/2018,1614,east
4/03/2018,1674,west
5/03/2018,1533,north
5/03/2018,1653,south
5/03/2018,1557,east
5/03/2018,1746,west
